image_name,label,track_id,x1,y1,x2,y2,image_only
Bago_highway_11_01,1,_msurfy1df,1481,605,1549,714,Bago_highway_11
Bago_highway_11_100,0,_kj96uh9tz,831,637,927,826,Bago_highway_11
Bago_highway_11_16,0,_kj96uh9tz,943,626,1050,796,Bago_highway_11
Bago_highway_11_16,1,_msurfy1df,1388,596,1453,706,Bago_highway_11
Bago_highway_11_26,1,_n0a1jjoqv,1815,569,1920,696,Bago_highway_11
Bago_highway_11_26,0,_kj96uh9tz,950,627,1051,799,Bago_highway_11
Bago_highway_11_59,1,_n0a1jjoqv,1418,602,1514,710,Bago_highway_11
Bago_highway_11_59,0,_kj96uh9tz,950,627,1049,800,Bago_highway_11
Bago_highway_11_59,1,_kkpe7v3fz,0,788,498,1080,Bago_highway_11
Bago_highway_11_68,1,_n0a1jjoqv,1354,590,1430,696,Bago_highway_11
Bago_highway_11_68,0,_kj96uh9tz,950,627,1048,801,Bago_highway_11
Bago_highway_11_68,1,_kkpe7v3fz,1173,688,1457,1080,Bago_highway_11
Bago_highway_11_68,1,_oy46onj64,1234,632,1432,913,Bago_highway_11
Bago_highway_11_72,0,_kj96uh9tz,950,627,1048,801,Bago_highway_11
Bago_highway_11_72,1,_kkpe7v3fz,1432,665,1658,1012,Bago_highway_11
Bago_highway_11_72,1,_oy46onj64,1547,616,1686,858,Bago_highway_11
Bago_highway_11_79,0,_kj96uh9tz,950,627,1047,801,Bago_highway_11
Bago_highway_11_79,1,_kkpe7v3fz,1735,634,1905,909,Bago_highway_11
Bago_highway_12_01,0,_uojvmhmnx,1729,586,1804,699,Bago_highway_12
Bago_highway_12_01,0,_twqbko6q0,1635,595,1714,700,Bago_highway_12
Bago_highway_12_100,0,_jb1r8b3ic,824,636,984,872,Bago_highway_12
Bago_highway_12_100,0,_twqbko6q0,1635,595,1713,701,Bago_highway_12
Bago_highway_12_39,0,_uojvmhmnx,502,654,719,905,Bago_highway_12
Bago_highway_12_39,1,_fpqe2huix,1850,582,1902,679,Bago_highway_12
Bago_highway_12_39,0,_twqbko6q0,1635,595,1714,700,Bago_highway_12
Bago_highway_12_46,1,_fpqe2huix,1732,591,1790,699,Bago_highway_12
Bago_highway_12_46,0,_twqbko6q0,1635,595,1713,700,Bago_highway_12
Bago_highway_12_77,0,_twqbko6q0,1635,595,1713,701,Bago_highway_12
Bago_highway_13_01,0,_cmrw4oyqs,1606,591,1685,746,Bago_highway_13
Bago_highway_13_01,1,_1fw1y23ll,273,687,408,886,Bago_highway_13
Bago_highway_13_01,1,_8kauwiyi2,355,678,536,883,Bago_highway_13
Bago_highway_13_01,0,_l9ar8o81r,1684,590,1760,717,Bago_highway_13
Bago_highway_13_01,1,_vjn0fwcol,1682,644,1874,911,Bago_highway_13
Bago_highway_13_03,0,_cmrw4oyqs,1563,592,1647,756,Bago_highway_13
Bago_highway_13_03,1,_1fw1y23ll,273,687,408,886,Bago_highway_13
Bago_highway_13_03,1,_8kauwiyi2,354,678,535,883,Bago_highway_13
Bago_highway_13_03,0,_l9ar8o81r,1617,591,1700,725,Bago_highway_13
Bago_highway_13_03,1,_vjn0fwcol,1757,630,1920,881,Bago_highway_13
Bago_highway_13_03,0,_y0sfzodo7,36,698,449,1080,Bago_highway_13
Bago_highway_13_05,0,_cmrw4oyqs,1520,593,1608,765,Bago_highway_13
Bago_highway_13_05,1,_1fw1y23ll,273,687,408,886,Bago_highway_13
Bago_highway_13_05,1,_8kauwiyi2,354,678,535,883,Bago_highway_13
Bago_highway_13_05,0,_l9ar8o81r,1549,593,1640,733,Bago_highway_13
Bago_highway_13_05,0,_y0sfzodo7,421,677,736,1080,Bago_highway_13
Bago_highway_13_100,1,_1fw1y23ll,273,687,404,886,Bago_highway_13
Bago_highway_13_100,1,_8kauwiyi2,357,678,536,883,Bago_highway_13
Bago_highway_13_100,0,_p3ejzf8rs,1812,624,1920,885,Bago_highway_13
Bago_highway_13_100,1,_x5n46f85i,1644,593,1736,716,Bago_highway_13
Bago_highway_13_24,0,_cmrw4oyqs,1034,621,1178,860,Bago_highway_13
Bago_highway_13_24,1,_1fw1y23ll,273,687,407,886,Bago_highway_13
Bago_highway_13_24,1,_8kauwiyi2,355,678,535,883,Bago_highway_13
Bago_highway_13_24,0,_l9ar8o81r,489,647,680,924,Bago_highway_13
Bago_highway_13_24,0,_y0sfzodo7,1696,597,1791,762,Bago_highway_13
Bago_highway_13_24,0,_6ylcsu5yk,55,742,558,1080,Bago_highway_13
Bago_highway_13_29,0,_cmrw4oyqs,854,629,1023,894,Bago_highway_13
Bago_highway_13_29,1,_1fw1y23ll,273,687,407,886,Bago_highway_13
Bago_highway_13_29,1,_8kauwiyi2,355,678,535,883,Bago_highway_13
Bago_highway_13_29,0,_y0sfzodo7,1813,592,1894,732,Bago_highway_13
Bago_highway_13_29,0,_6ylcsu5yk,926,680,1217,1080,Bago_highway_13
Bago_highway_13_32,0,_cmrw4oyqs,734,634,922,916,Bago_highway_13
Bago_highway_13_32,1,_1fw1y23ll,273,687,407,886,Bago_highway_13
Bago_highway_13_32,1,_8kauwiyi2,355,678,535,883,Bago_highway_13
Bago_highway_13_32,0,_6ylcsu5yk,1227,659,1460,1010,Bago_highway_13
Bago_highway_13_43,1,_1fw1y23ll,273,687,407,886,Bago_highway_13
Bago_highway_13_43,1,_8kauwiyi2,355,678,535,883,Bago_highway_13
Bago_highway_13_43,0,_6ylcsu5yk,1823,616,1920,845,Bago_highway_13
Bago_highway_13_44,1,_1fw1y23ll,273,687,407,886,Bago_highway_13
Bago_highway_13_44,1,_8kauwiyi2,355,678,535,883,Bago_highway_13
Bago_highway_13_60,1,_1fw1y23ll,273,687,406,886,Bago_highway_13
Bago_highway_13_60,1,_8kauwiyi2,356,678,535,883,Bago_highway_13
Bago_highway_13_60,0,_z8sh9iptw,8,752,519,1080,Bago_highway_13
Bago_highway_13_68,1,_1fw1y23ll,273,687,406,886,Bago_highway_13
